nom,prix,adresse,image_lien
Mouton Ladoum,690000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2664213_uploaded_image1_1601565887.jpg
Azawat pur sang,1200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2645571_uploaded_image1_1600821862.jpg
Mouton Azawat pur sang,1000000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2645562_uploaded_image1_1600821694.jpg
Mouton métisse Ladoum Azawat,175000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2639328_uploaded_image1_1600604046.jpg
Moutons,850000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_2638675_uploaded_image1_1600558405.jpg
Mouton ladoum pur sang,4000000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2638276_uploaded_image1_1600545322.jpg
Moutons,650000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_2637096_uploaded_image1_1600510099.jpg
Mouton ladoum pur-sang,350000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_2636994_uploaded_image1_1600508167.jpg
Ladoum,1700000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2628237_uploaded_image1_1600190177.jpg
Mouton azawat,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2628137_uploaded_image1_1600186458.jpg
Mouton Ladoum,1000000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2624094_uploaded_image1_1600052514.jpg
Mouton Ladoum,290000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_2623905_uploaded_image1_1600038049.jpg
Mouton Ladoum,700000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2608018_uploaded_image1_1599498878.jpg
Femelle Ladoum,200000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2604229_uploaded_image1_1599359051.jpg
Mâle ladoum,5000000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_2586236_uploaded_image1_1598793448.jpg
Mouton,20000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2547237_uploaded_image1_1597541401.jpg
