nom,prix,adresse,image_lien
Chien,400000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1940062_uploaded_image1_1586802060.81.png
Chiens Malinois,300000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1904735_uploaded_image1_1586214527.85.png
Métisse chiots rottweiler,50000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1890049_uploaded_image1_1585932795.82.png
Labrador,200000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1869479_uploaded_image1_1585587706.8.png
Doberman pure souche,350000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1803179_uploaded_image1_1584379219.84.png
Cani corso,600000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1716117_uploaded_image1_1582837304.5.png
Chiot berger belge malinois,175000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_1628361_uploaded_image1_1581360490.25.png
Doberman,400000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1621541_uploaded_image1_1581266142.61.png
Chiots akita américain,990000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png
Caniche,100000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1502366_uploaded_image1_1579392503.84.png
Caniches,100000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1502318_uploaded_image1_1579389696.6.png
Caniche,100000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1502314_uploaded_image1_1579389662.11.png
Chiots husky sibérien - dog argentin - cane corso,350000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_1477206_uploaded_image1_1578994405.03.png
Chiots Chowchow,990000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1444195_uploaded_image1_1578452519.81.png
Chiots Dalmatiens,450000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1396092_uploaded_image1_1577444313.67.png
Chiots Labradors,650000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4287921_uploaded_image1_1688944788.jpg
Chiots Husky's,250000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4284697_uploaded_image1_1688724399.jpg
Chiots Cane Corso,350000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4283254_uploaded_image1_1688639363.jpg
Chiot croisé Husky / Berger Allemand,180000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4280738_uploaded_image2_1688487016.jpeg
Chiots Bichons,150000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4277694_uploaded_image1_1688305486.jpg
Chiots Berger Allemand,260000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4277563_uploaded_image1_1688297196.jpg
Chiot Bichon,150000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268527_uploaded_image1_1687554867.jpg
Chiots Berger Allemand,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4268216_uploaded_image1_1687536535.jpg
Chien Berger Allemand,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4266819_uploaded_image1_1687451460.jpg
Chien berger Allemand,250000.0,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4263673_uploaded_image1_1687280336.jpg
Chiot  Malinois,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4255782_uploaded_image3_1686731484.jpeg
Chiots  Bergers australien,650000.0,"Saly, Sénégal",https://images.coinafrique.com/thumb_4242936_uploaded_image1_1685941455.jpg
Chien  Rottweiler,350000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4242529_uploaded_image1_1685899419.jpg
Chiots malinois,220000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4235508_uploaded_image1_1685447149.jpg
Chien,150000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4227862_uploaded_image1_1684881837.jpg
Chiots Pitbull,100000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4226576_uploaded_image1_1684815976.jpg
Chien Berger allemand,350000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4221634_uploaded_image1_1684441608.jpg
Chiot Bichon Maltais,190000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4220294_uploaded_image1_1684360783.jpg
Chiots Berger Allemand,125000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4220216_uploaded_image1_1684354056.jpg
Chiots Pitbulls,190000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4219520_uploaded_image2_1684323670.jpeg
Chiots Pitbull,130000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4219240_uploaded_image1_1684312262.jpg
Chien,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4216138_uploaded_image1_1684103109.jpg
Chiots berger allemand,175000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4209184_uploaded_image1_1683653649.jpg
Chiots Berger Belge,250000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4206429_uploaded_image1_1683473426.jpg
Chiots Berger Allemand,150000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4206427_uploaded_image1_1683473206.jpg
Chiots Caniches,150000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4206419_uploaded_image1_1683473050.jpg
Chiot  Allemand,600000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4204043_uploaded_image1_1683299075.jpg
Chiots Berger Allemand,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4203328_uploaded_image1_1683276531.jpg
Chien,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4198141_uploaded_image1_1683020218.jpg
Chienne malinois,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4192516_uploaded_image1_1682602073.jpg
Chienne malinoise,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4191047_uploaded_image1_1682510654.jpg
Chiens,150000.0,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4190505_uploaded_image1_1682468019.jpg
Chiot berger malinois,130000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4189681_uploaded_image1_1682428415.jpg
Chiot Malinois,200000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4186165_uploaded_image1_1682151351.jpg
Chiot pitbull,100000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4180447_uploaded_image1_1681745968.jpg
Chiot Bichon Maltais,100000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4178317_uploaded_image1_1681583921.jpg
Chiots bergers allemands,200000.0,"Saly, Sénégal",https://images.coinafrique.com/thumb_4176841_uploaded_image1_1681482623.jpg
Chiot,150000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4174428_uploaded_image1_1681336910.jpg
Chiens berger allemand,200000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4172538_uploaded_image1_1681227060.jpg
Chiot  Caniche,300000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4169389_uploaded_image1_1681006575.jpg
Chiots labrador,400000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4167214_uploaded_image1_1680870219.jpg
Chiot Bichon,150.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4165184_uploaded_image1_1680766831.jpg
Chiots  Malinois,200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4162884_uploaded_image1_1680632930.jpg
Chiots  Malinois,350000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4159449_uploaded_image1_1680456128.jpg
Chiots Malinois,150000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4158059_uploaded_image1_1680361437.jpg
Chiots,120000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4149988_uploaded_image1_1679859740.jpg
Chiot Bichon,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4149942_uploaded_image1_1679856856.jpg
Chien Jack russell,175000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4142083_uploaded_image1_1679347655.jpg
Chiot Labrador,750000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4141864_uploaded_image1_1679336408.jpg
